자격구분코드,자격구분명,계열명,종목명
T,국가기술자격      ,기능사,특수도금기능사보
T,국가기술자격      ,기능사,제선기능사보
T,국가기술자격      ,기능사,제선기능사보
T,국가기술자격      ,기능사,제선기능사보
T,국가기술자격      ,기능사,담배원료가공기능사보
T,국가기술자격      ,기능사,궐련제조기능사보
T,국가기술자격      ,기능사,일식조리기능사
T,국가기술자격      ,기능사,조화공예기능사
T,국가기술자격      ,기능사,신발제조기능사
T,국가기술자격      ,기능사,제책기능사
T,국가기술자격      ,기능사,인형기능사
T,국가기술자격      ,기능사,환경기능사
T,국가기술자격      ,기능사,2급조리사
T,국가기술자격      ,기능사,영사기능사
T,국가기술자격      ,기능사,양복재단기능사2급
T,국가기술자격      ,기능사,양복봉재기능사2급
T,국가기술자격      ,기능사,미용사
T,국가기술자격      ,기능사,사리채취기운전기능사
T,국가기술자격      ,기능사,철도동력차전기정비기능사보
T,국가기술자격      ,기능사,객화차정비기능사보
T,국가기술자격      ,기능사,공기조화기능사보
T,국가기술자격      ,기능사,담배제조기계기능사보
T,국가기술자격      ,기능사,자동차전기정비기능사보
T,국가기술자격      ,기능사,중기정비기능사보
T,국가기술자격      ,기능사,편물기능사(기계편물)
T,국가기술자격      ,기능사,보일러시공기능사
T,국가기술자격      ,기능사,화공기계기능사
T,국가기술자격      ,기능사,주조조판기능사
T,국가기술자격      ,기능사,제판기능사
T,국가기술자격      ,기능사,문선식자기능사2급
T,국가기술자격      ,기능사,문선식자기능사
T,국가기술자격      ,기능사,문선식자기능사
T,국가기술자격      ,기능사,공업계측제어기능사
T,국가기술자격      ,기능사,초상사진기능사2급
T,국가기술자격      ,기능사,방송통신기능사
T,국가기술자격      ,기능사,사진제판기능사2급(전산사진식자)
T,국가기술자격      ,기능사,옵셋제판기능사2급
T,국가기술자격      ,기능사,지형연판기능사
T,국가기술자격      ,기능사,인쇄기능사2급
T,국가기술자격      ,기능사,인쇄기능사2급
T,국가기술자격      ,기능사,인쇄기능사2급
T,국가기술자격      ,기능사,인쇄기능사
T,국가기술자격      ,기능사,방적기능사
T,국가기술자격      ,기능사,옵셋제판기능사2급
T,국가기술자격      ,기능사,옵셋제판기능사2급
T,국가기술자격      ,기능사,옵셋제판기능사2급
T,국가기술자격      ,기능사,광산보안기능사
T,국가기술자격      ,기능사,홍삼제조기능사
T,국가기술자격      ,기능사,냉동식품제조기능사2급
T,국가기술자격      ,기능사,교환설비기능사2급
T,국가기술자격      ,기능사,통신선로기능사
T,국가기술자격      ,기능사,콘크리트기능사
T,국가기술자격      ,기능사,직기조정기능사2급
T,국가기술자격      ,기능사,인판공예기능사
T,국가기술자격      ,기능사,자기비파괴검사기능사
T,국가기술자격      ,기능사,침투비파괴검사기능사
T,국가기술자격      ,기능사,한복기능사
T,국가기술자격      ,기능사,궐련제조기계정비기능사
T,국가기술자격      ,기능사,담배포장기계정비기능사
T,국가기술자격      ,기능사,선체의장기능사
T,국가기술자격      ,기능사,광산보안기능사2급
T,국가기술자격      ,기능사,광산보안기능사2급
T,국가기술자격      ,대한상공회의소 시행종목,컴퓨터활용능력1급
T,국가기술자격      ,기능사,섬유제도디자인기능사
T,국가기술자격      ,기능사,굴착기능사2급
T,국가기술자격      ,기능사,시추기능사
T,국가기술자격      ,기능사,정보기기운용기능사
T,국가기술자격      ,기능사,전화교환기능사
T,국가기술자격      ,기능사,전산응용조선제도기능사
T,국가기술자격      ,기능사,선체건조기능사
T,국가기술자격      ,기능사,물리탐광기능사
T,국가기술자격      ,기능사,선광기능사
T,국가기술자격      ,대한상공회의소 시행종목,컴퓨터활용능력2급
T,국가기술자격      ,기능사,침염기능사2급
T,국가기술자격      ,기능사,제직기능사2급
T,국가기술자격      ,기능사,나염기능사2급
T,국가기술자격      ,기능사,염색기능사(침염)
T,국가기술자격      ,기능사,정보처리기능사
T,국가기술자격      ,기능사,음향통신기능사
T,국가기술자격      ,기능사,인쇄통신기능사
T,국가기술자격      ,기능사,무선설비기능사
T,국가기술자격      ,기능사,전파통신기능사
T,국가기술자격      ,기능사,염색기능사(날염)
T,국가기술자격      ,기능사,직물가공기능사
T,국가기술자격      ,기능사,석공기능사
T,국가기술자격      ,기능사,토목재료시험기능사2급
T,국가기술자격      ,기능사,철도토목기능사
T,국가기술자격      ,기능사,전파전자기능사
T,국가기술자격      ,기사,반도체설계기사
T,국가기술자격      ,기능사,전자계산기기능사
T,국가기술자격      ,기능사,화학분석기능사
T,국가기술자격      ,기능사,화학분쇄혼합기능사2급
T,국가기술자격      ,기능사,인발기능사
T,국가기술자격      ,기능사,제직기능사2급
T,국가기술자격      ,기능사,제직기능사2급
T,국가기술자격      ,기능사,염색기능사2급
T,국가기술자격      ,기능사,정련표백기능사2급
T,국가기술자격      ,기능사,직기조정기능사
T,국가기술자격      ,기능사,도배기능사
T,국가기술자격      ,기능사,화학반응기기조작기능사2급
T,국가기술자격      ,기능사,전기공사기능사
T,국가기술자격      ,기능사,철도신호기능사
T,국가기술자격      ,기능사,전기철도기능사
T,국가기술자격      ,기능사,음향영상기기기능사2급
T,국가기술자격      ,기능사,전자기능사
T,국가기술자격      ,기능사,기와기능사
T,국가기술자격      ,기능사,함석기능사
T,국가기술자격      ,기능사,타일기능사
T,국가기술자격      ,기능사,방사기능사
T,국가기술자격      ,기능사,방적기보전기능사2급
T,국가기술자격      ,기능사,방적기조정기능사2급
T,국가기술자격      ,기능사,건축도장기능사
T,국가기술자격      ,기능사,석공예기능사
T,국가기술자격      ,기능사,전자계산기조작기능사2급
T,국가기술자격      ,기능사,고압가스화학기능사2급
T,국가기술자격      ,기능사,화약류제조기능사
T,국가기술자격      ,기능사,발전설비기능사2급
T,국가기술자격      ,기능사,전기기기(1)기능사2급
T,국가기술자격      ,기능사,전기기기(2)기능사2급
T,국가기술자격      ,기능사,유리시공기능사
T,국가기술자격      ,기능사,실내건축기능사
T,국가기술자격      ,기능사,온돌기능사2급
T,국가기술자격      ,기능사,온수온돌기능사
T,국가기술자격      ,기능사,구들온돌기능사2급
T,국가기술자격      ,기능사,거푸집기능사
T,국가기술자격      ,대한상공회의소 시행종목,컴퓨터활용능력3급
T,국가기술자격      ,기능사,비계기능사
T,국가기술자격      ,기능사,전기계측제어기능사
T,국가기술자격      ,대한상공회의소 시행종목,주산5급
T,국가기술자격      ,대한상공회의소 시행종목,부기1급
T,국가기술자격      ,대한상공회의소 시행종목,부기2급
T,국가기술자격      ,기능사,담배재건조기계정비기능사
T,국가기술자격      ,기능사,와전류비파괴검사기능사
T,국가기술자격      ,기능사,비파괴검사기능사2급
T,국가기술자격      ,기능사,귀금속가공기능사
T,국가기술자격      ,기능사,방사선비파괴검사기능사
T,국가기술자격      ,기능사,항공사진기능사
T,국가기술자격      ,기능사,광학기능사
T,국가기술자격      ,기능사,지도제작기능사
T,국가기술자격      ,기능사,담배원료가공기계정비기능사
T,국가기술자격      ,기능사,초음파비파괴검사기능사
T,국가기술자격      ,기능사,수편기능사2급
T,국가기술자격      ,기능사,수자수기능사2급
T,국가기술자격      ,기능사,기계자수기능사2급
T,국가기술자격      ,기능사,나전칠기기능사2급
T,국가기술자격      ,기능사,패세공기능사
T,국가기술자격      ,기능사,펄프제지기능사
T,국가기술자격      ,기능사,목질재료기능사
T,국가기술자격      ,기능사,건설재료시험기능사
T,국가기술자격      ,기능사,가구제작기능사
T,국가기술자격      ,기능사,유선설비기능사2급
T,국가기술자격      ,기능사,칠기기능사
T,국가기술자격      ,기능사,금속공예기능사
T,국가기술자격      ,기능사,금속도장기능사
T,국가기술자격      ,기능사,광산보안기능사(기계분야)
T,국가기술자격      ,기능사,담배재건조기능사
T,국가기술자격      ,기능사,전신전화기기기능사2급
T,국가기술자격      ,기능사,광산보안기능사(채광분야)
T,국가기술자격      ,기능사,기편기능사2급
T,국가기술자격      ,기능사,광산기계설치기능사
T,국가기술자격      ,기능사,광산기계기능사
T,국가기술자격      ,기능사,광산기계운전및수리기능사
T,국가기술자격      ,기능사,광산차량기계운전기능사
T,국가기술자격      ,기능사,광산환경기능사
T,국가기술자격      ,기능사,선체가공기능사2급
T,국가기술자격      ,기능사,조선기계절단기능사
T,국가기술자격      ,기능사,건설기계차체정비기능사보
T,국가기술자격      ,기능사,스크레이퍼운전기능사
T,국가기술자격      ,기능사,양장기능사
T,국가기술자격      ,기능사,등죽세공예기능사
T,국가기술자격      ,기능사,건설기계기관정비기능사보
T,국가기술자격      ,기능사,양화장치운전기능사보
T,국가기술자격      ,기능사,농업기계기능사보
T,국가기술자격      ,기능사,농기계운전기능사보
T,국가기술자격      ,기능사,고압가스기계기능사보
T,국가기술자격      ,기능사,공업배관기능사보
T,국가기술자격      ,기능사,전기용접기능사보
T,국가기술자격      ,기능사,가스용접기능사보
T,국가기술자격      ,기능사,시계수리기능사보
T,국가기술자격      ,기능사,채소재배기능사
T,국가기술자격      ,기능사,과수재배기능사
T,국가기술자격      ,기능사,제과기능사
T,국가기술자격      ,기능사,제빵기능사
T,국가기술자격      ,기능사,자동차새시정비기능사보
T,국가기술자격      ,기능사,카일렉트로닉스기능사
T,국가기술자격      ,기능사,자동차기관정비기능사보
T,국가기술자격      ,기능사,특수용접기능사보
T,국가기술자격      ,기능사,정밀측정기능사보
T,국가기술자격      ,기능사,일반판금기능사보
T,국가기술자격      ,기능사,양복기능사
T,국가기술자격      ,기능사,송배전설비기능사2급
T,국가기술자격      ,기능사,가구도장기능사
T,국가기술자격      ,기능사,광고도장기능사
T,국가기술자격      ,기능사,보석가공기능사
T,국가기술자격      ,기능사,화훼재배기능사
T,국가기술자격      ,기능사,조경기능사
T,국가기술자격      ,기능사,식품기계기능사
T,국가기술자격      ,기능사,계량기능사2급(2류)
T,국가기술자격      ,기능사,계량기능사2급(3류)
T,국가기술자격      ,기능사,계량기능사2급(4류)
T,국가기술자격      ,기능사,도화기능사
T,국가기술자격      ,기능사,자수기능사(수자수)
T,국가기술자격      ,기능사,정밀측정기능사보
T,국가기술자격      ,기능사,정밀측정기능사보
T,국가기술자격      ,기능사,정밀측정기능사보
T,국가기술자격      ,기능사,보석감정사
T,국가기술자격      ,기능사,선반기능사보
T,국가기술자격      ,기능사,형평삭기능사보
T,국가기술자격      ,기능사,시멘트제조기능사2급
T,국가기술자격      ,기능사,변전설비기능사2급
T,국가기술자격      ,기능사,콘크리트믹서운전기능사
T,국가기술자격      ,기능사,지게차운전기능사
T,국가기술자격      ,기능사,공기압축기운전기능사
T,국가기술자격      ,기능사,밀링기능사보
T,국가기술자격      ,기능사,보오링기능사보
T,국가기술자격      ,기능사,다듬질기능사보
T,국가기술자격      ,기능사,기어절삭기능사보
T,국가기술자격      ,기능사,기어절삭기능사보
T,국가기술자격      ,기능사,연삭기능사보
T,국가기술자격      ,기능사,공구제작기능사보
T,국가기술자격      ,기능사,프레스금형기능사보
T,국가기술자격      ,기능사,사출금형기능사보
T,국가기술자격      ,기능사,양장재단기능사2급
T,국가기술자격      ,기능사,덤프트럭운전기능사
T,국가기술자격      ,기능사,롤러운전기능사
T,국가기술자격      ,기능사,모터그레이더운전기능사
T,국가기술자격      ,기능사,양장봉재기능사2급
T,국가기술자격      ,기능사,양화장치운전기능사
T,국가기술자격      ,기능사,승강기기능사
T,국가기술자격      ,기능사,표구기능사
T,국가기술자격      ,기능사,세탁기능사
T,국가기술자격      ,기능사,화약취급기능사
T,국가기술자격      ,기능사,정보통신설비기능사2급
T,국가기술자격      ,기능사,아스팔트피니셔운전기능사
T,국가기술자격      ,기능사,준설선운전기능사
T,국가기술자격      ,기능사,쇄석기운전기능사
T,국가기술자격      ,기능사,통신기기기능사
T,국가기술자격      ,기능사,농화학기능사
T,국가기술자격      ,기능사,수산양식기능사
T,국가기술자격      ,기능사,로더운전기능사
T,국가기술자격      ,기능사,누설비파괴검사기능사
T,국가기술자격      ,기능사,목공예기능사
T,국가기술자격      ,기능사,생사기능사
T,국가기술자격      ,기능사,직기보전기능사2급
T,국가기술자격      ,기능사,축산기능사
T,국가기술자격      ,기능사,식육처리기능사
T,국가기술자격      ,기능사,버섯종균기능사
T,국가기술자격      ,기능사,자동차검사기능사
T,국가기술자격      ,기능사,기중기운전기능사
T,국가기술자격      ,기능사,굴착기운전기능사
T,국가기술자격      ,기능사,불도저운전기능사
T,국가기술자격      ,기능사,산림기능사
T,국가기술자격      ,기능사,식물보호기능사
T,국가기술자격      ,기능사,식물보호기능사2급
T,국가기술자격      ,기능사,농예화학기능사2급
T,국가기술자격      ,기능사,목재가공기능사
T,국가기술자격      ,기능사,수산식품가공기능사
T,국가기술자격      ,기능사,열관리기능사
T,국가기술자격      ,기능사,계량기능사2급(5류)
T,국가기술자격      ,기능사,계량기능사2급(6류)
T,국가기술자격      ,기능사,계량기능사2급(7류)
T,국가기술자격      ,기능사,계량기능사2급(8류)
T,국가기술자격      ,기능사,계량기능사2급(9류)
T,국가기술자격      ,기능사,계량기능사2급(10류)
T,국가기술자격      ,기능사,계량기능사2급(11류)
T,국가기술자격      ,기능사,계량기능사2급(12류)
T,국가기술자격      ,기능사,계량기능사2급(13류)
T,국가기술자격      ,기능사,임산가공기능사
T,국가기술자격      ,기능사,어로기능사
T,국가기술자격      ,기능사,잠수기능사
T,국가기술자격      ,기능사,종자기능사
T,국가기술자격      ,기능사,어간유제조기능사2급
T,국가기술자격      ,기능사,한천제조기능사2급
T,국가기술자격      ,기능사,계량기능사2급(14류)
T,국가기술자격      ,기능사,계량기능사2급(15류)
T,국가기술자격      ,기능사,계량기계기능사
T,국가기술자격      ,기능사,계량물리기능사
T,국가기술자격      ,기능사,계량전기기능사
T,국가기술자격      ,기능사,계량기능사2급(1류)
T,국가기술자격      ,기능사,축산식품가공기능사
T,국가기술자격      ,기능사,스크린인쇄기능사
T,국가기술자격      ,기능사,광산보안기능사(전기분야)
T,국가기술자격      ,기능사,지적기능사
T,국가기술자격      ,기능사,지적기능사2급
T,국가기술자격      ,기능사,지적기능사2급
T,국가기술자격      ,기능사,임업종묘기능사
T,국가기술자격      ,기능사,자수기능사(기계자수)
T,국가기술자격      ,기능사,담배제조기계기능사
T,국가기술자격      ,기능사,철근기능사
T,국가기술자격      ,기능사,철골기능사2급
T,국가기술자격      ,기능사,창호제작기능사2급
T,국가기술자격      ,기능사,광산보안기능사2급
T,국가기술자격      ,기능사,광산보안기능사2급
T,국가기술자격      ,기능사,통조림제조기능사2급
T,국가기술자격      ,기능사,전자조판기능사
T,국가기술자격      ,기능사,제판기능사
T,국가기술자격      ,기능사,유선통신설비기능사2급
T,국가기술자격      ,기능사,축소사진기능사
T,국가기술자격      ,기능사,상업사진기능사2급
T,국가기술자격      ,기능사,보도사진기능사2급
T,국가기술자격      ,기능사,사진기능사
T,국가기술자격      ,기능사,컴퓨터그래픽스운용기능사
T,국가기술자격      ,기능사,편물기능사(수편물)
T,국가기술자격      ,기능사,사진제판기능사
T,국가기술자격      ,기능사,인쇄사진기능사
T,국가기술자격      ,기능사,인쇄기능사
T,국가기술자격      ,기능사,기계가공기능사2급
T,국가기술자격      ,기능사,기계가공조립기능사
T,국가기술자격      ,기능사,공조냉동기계기능사
T,국가기술자격      ,기능사,고압가스취급기능사2급
T,국가기술자격      ,기능사,가스기능사
T,국가기술자격      ,기사,직업상담사2급
T,국가기술자격      ,기사,사회조사분석사1급
T,국가기술자격      ,기사,사회조사분석사2급
T,국가기술자격      ,기능사,주산1단
T,국가기술자격      ,기능사,보오링기능사
T,국가기술자격      ,기사,세라믹기능사1급
T,국가기술자격      ,기사,고분자제품제조기능사1급
T,국가기술자격      ,기사,무선설비기능사1급
T,국가기술자격      ,기사,지하수기능사1급
T,국가기술자격      ,기사,섬유기계기능사1급
T,국가기술자격      ,기능사,선반기능사
T,국가기술자격      ,기능사,주산2단
T,국가기술자격      ,기능사,주산3단
T,국가기술자격      ,기능사,주산4단
T,국가기술자격      ,기능사,주산5단
T,국가기술자격      ,기능사,주산6단
T,국가기술자격      ,기능사,주산7단
T,국가기술자격      ,기능사,주산8단
T,국가기술자격      ,기능사,주산9단
T,국가기술자격      ,기능사,주산10단
T,국가기술자격      ,기능사,주산11단
T,국가기술자격      ,기사,산업기계정비기능사1급
T,국가기술자격      ,기사,발전기계설비기능사1급
T,국가기술자격      ,기사,홍삼제조산업기사
T,국가기술자격      ,기사,냉동식품제조기능사1급
T,국가기술자격      ,기능사,수치제어선반기능사
T,국가기술자격      ,기능사,형평삭기능사
T,국가기술자격      ,기사,도자기공예기능사1급
T,국가기술자격      ,기사,석공예산업기사
T,국가기술자격      ,기사,비파괴검사산업기사
T,국가기술자격      ,기사,고압합성기능사1급
T,국가기술자격      ,기사,유기합성기능사1급
T,국가기술자격      ,기사,섬유제도디자인기능사1급
T,국가기술자격      ,기사,사진산업기사
T,국가기술자격      ,기사,원예재배산업기사
T,국가기술자격      ,기사,제과산업기사
T,국가기술자격      ,기사,조주산업기사
T,국가기술자격      ,기사,인판공예기능사1급
T,국가기술자격      ,기사,문선식자기능사1급
T,국가기술자격      ,기사,중기검사기능사1급
T,국가기술자격      ,기사,화공기계산업기사
T,국가기술자격      ,기사,전기기기기능사1급
T,국가기술자격      ,기사,교환설비기능사1급
T,국가기술자격      ,기사,버섯종묘산업기사
T,국가기술자격      ,기사,피아노조율기능사1급
T,국가기술자격      ,기능사,등죽세공예기능사보
T,국가기술자격      ,기능사,초경가공기능사보
T,국가기술자격      ,기능사,채소재배기능사보
T,국가기술자격      ,기능사,과수재배기능사보
T,국가기술자격      ,기능사,화훼재배기능사보
T,국가기술자격      ,기능사,조경기능사보
T,국가기술자격      ,기능사,시설원예기능사보
T,국가기술자격      ,기사,산림기능사1급
T,국가기술자격      ,기능사,식물보호산업기사
T,국가기술자격      ,기사,유선통신선로기능사1급
T,국가기술자격      ,기사,항공사진산업기사
T,국가기술자격      ,기사,지도제작산업기사
T,국가기술자격      ,기사,담배기계정비산업기사
T,국가기술자격      ,기사,어로기능사1급
T,국가기술자격      ,기능사,조화공예기능사보
T,국가기술자격      ,기능사,제화제갑기능사보
T,국가기술자격      ,기사,조리산업기사
T,국가기술자격      ,기사,조리산업기사
T,국가기술자격      ,기사,잠수기능사1급
T,국가기술자격      ,기사,수산양식산업기사
T,국가기술자격      ,기사,원예종묘산업기사
T,국가기술자격      ,기사,임업종묘기능사1급
T,국가기술자격      ,기사,농예화학기능사1급
T,국가기술자격      ,대한상공회의소 시행종목,부기3급
T,국가기술자격      ,대한상공회의소 시행종목,비서1급
T,국가기술자격      ,대한상공회의소 시행종목,비서2급
T,국가기술자격      ,대한상공회의소 시행종목,비서3급
T,국가기술자격      ,대한상공회의소 시행종목,한글타자1급
T,국가기술자격      ,대한상공회의소 시행종목,한글타자2급
T,국가기술자격      ,대한상공회의소 시행종목,한글타자3급
T,국가기술자격      ,대한상공회의소 시행종목,영문타자1급
T,국가기술자격      ,대한상공회의소 시행종목,영문타자2급
T,국가기술자격      ,대한상공회의소 시행종목,영문타자3급
T,국가기술자격      ,기능사,기계정비기능사
T,국가기술자격      ,기능사,건축목공기능사
T,국가기술자격      ,기능사,건축재료시험기능사2급
T,국가기술자격      ,기능사,통신나선기능사
T,국가기술자격      ,기능사,통신케이블기능사
T,국가기술자격      ,대한상공회의소 시행종목,워드프로세서2급
T,국가기술자격      ,대한상공회의소 시행종목,워드프로세서3급
T,국가기술자격      ,대한상공회의소 시행종목,한글속기1급
T,국가기술자격      ,대한상공회의소 시행종목,한글속기2급
T,국가기술자격      ,대한상공회의소 시행종목,한글속기3급
T,국가기술자격      ,기능사,영문속기1급
T,국가기술자격      ,대한상공회의소 시행종목,주산4급
T,국가기술자격      ,기능사,화학열기기조작기능사2급
T,국가기술자격      ,기능사,화학분리기기조작기능사2급
T,국가기술자격      ,기능사,자동전신기기기능사2급
T,국가기술자격      ,기능사,목재창호기능사
T,국가기술자격      ,기능사,금속재창호기능사
T,국가기술자격      ,기능사,미장기능사
T,국가기술자격      ,기능사,열처리기능사
T,국가기술자격      ,기능사,제지기능사2급
T,국가기술자격      ,기능사,가죽처리기능사
T,국가기술자격      ,기능사,농약기능사
T,국가기술자격      ,기능사,위험물취급기능사2급
T,국가기술자격      ,기능사,방수기능사
T,국가기술자격      ,기능사,포장기능사
T,국가기술자격      ,기능사,갱부기능사
T,국가기술자격      ,기능사,건축제도기능사
T,국가기술자격      ,기능사,전산응용건축제도기능사
T,국가기술자격      ,기능사,플라스틱성형가공기능사
T,국가기술자격      ,기능사,세라믹기능사
T,국가기술자격      ,기능사,제지기능사
